;Título;info;Contenido;Etiqueta
0;La Fórmula 1 sigue sufriendo: aplazado el GP de Canadá;Se debía celebrar del 12 al 14 de junio en Montreal, pero la crisis del coronavirus lo afectó.;"La organización del Grand Premio de Canadá de Fórmula 1, que se debía celebrar del 12 al 14 de junio en Montreal, anunció este martes la suspensión temporal de la carrera ante la crisis causada por Covid-19 y declaró que la carrera se celebrará ""tan pronto como sea seguro"" hacerlo. El presidente y consejero delegado de Formula 1, Chase Carey, indicó en un comunicado que la competición automovilística se reanudará a finales de año. ""Hemos estado trabajando de forma estrecha con nuestros amigos del Grand Premio de Canadá durante las últimas semanas y apoyamos su necesaria decisión para garantizar la seguridad de los aficionados y la comunidad de F1"", afirmó Carey. (Le puede interesar: Polémica por acuerdo de Santa Fe con el equipo femenino ) ""Siempre queremos viajar a la increíble ciudad de Montreal y aunque tendremos que esperar un poco más, vamos a tener un gran espectáculo cuando lleguemos a finales de año"", añadió Carey. La organización del Gran Premio de Canadá explicó que la decisión de suspender temporalmente la carrera sigue las indicaciones de las autoridades sanitarias ante la pandemia del Covid-19. ""En estos momentos, es crucial que todas nuestras energías se concentren en superar el Covid-19. Les recibiremos con los brazos abiertos en el circuito Gilles-Villeneuve tan pronto como sea seguro hacerlo"", dijo el presidente y consejero delegado del Gran Premio de Canadá, Francois Dumontier. (Lea también: Hasta la alcaldesa criticó el acuerdo de Santa Fe con plantel femenino ) Pero a diferencia de otros eventos deportivos y grandes espectáculos, la organización de la prueba no ofreció reembolsar el precio de las entradas ya adquiridas por los aficionados. El Gran Premio de Canadá dijo que las entradas compradas inicialmente para las fechas de junio ""seguirán siendo válidas"" para la nueva fecha en la que se celebrará la competición y que todavía tiene que ser anunciada. EFE ";deportes
1;Al hijo de Schumacher no le disgustaría enfrentar al de Montoya en F1;Mick, heredero de la dinastía del siete veces campeón mundial, habló en exclusiva con EL TIEMPO.;Llevar el apellido Schumacher es sinónimo de grandeza, de triunfos. Tener el apellido Schumacher es un peso enorme. Eso lo sabe Mick, hijo del mítico Michael, quizá el mejor piloto de la Fórmula 1, categoría que obtuvo en siete ocasiones, para ser el más ganador de toda la historia. Cuando Mick nació, su padre aún no había iniciado su gran serie triunfal con Ferrari, con la que había debutado en 1996, aunque ya había ganado dos títulos de la F1 con Benetton (1994 y 1995). Sin embargo, el niño en ese entonces ya sentía el rugir de los motores en la sangre, sin saber que seguiría los pasos de su padre en el automovilismo. La familia Schumacher está hoy pendiente del estado de salud de Michael, luego del grave accidente de esquí que sufrió a finales del 2013, en Meribel –en los Alpes franceses–, y por el que aún se encuentra en estado de coma. Le puede interesar: ( El hijo de Juan Pablo Montoya cuenta cómo sigue la huella de su padre ). Mientras esto pasa, Mick, de 21 años, ya está en la Fórmula 2 con el equipo Prema, a un paso de cumplir su deseo de estar en la F1. En entrevista con EL TIEMPO, el joven Schumacher habló de su carrera deportiva, el legado de su padre y el hijo del colombiano Juan Pablo Montoya. También lea: ( Montoya-Schumacher: ¿otra vez una rivalidad en la Fórmula 1? ) El automovilismo es una gran parte de la vida de la familia Schumacher, ¿qué es lo que más le gusta de este deporte y de la velocidad? Sí, tiene razón, las carreras siempre han jugado un papel importante en mi vida. Incluso, cuando no estoy en el auto, paso la mayor parte del tiempo pensando en estar en el monoplaza, es mi vida, mi pasión, lo que despierta en mí esas ganas de entrar a competir. Me encanta este deporte porque es un desafío realmente difícil, agotador y, al mismo tiempo, muy complicado. Es increíble, y realmente lo extraño en este momento en el que estamos en aislamiento por el tema del coronavirus. ¿Cómo ha sido su vida en el deporte del motor durante estos años de su carrera? Creo que puedo ser absolutamente feliz con mi carrera hasta ahora. Lo hice paso a paso, la he llevado con paciencia y en el camino correcto. Comencé, como todos los pilotos, con el karting, y he pasado por la Fórmula 4, la Fórmula 3 y ahora en la Fórmula 2. Cuanto más te acercas a la Fórmula 1, más difícil se vuelve y más tiempo paso en las carreras, en las diferentes pistas y en todas las actividades a su alrededor, analizando cada milimétrico detalle que me puede hacer más veloz y andar mejor. Es una escalera que estoy subiendo y siento que ha ido muy bien hasta ahora. ¿Cómo analiza su carrera deportiva hasta ahora? Como dije antes, estoy muy contento con el progreso hasta ahora. Después del karting, hice el paso correcto para comenzar en F4 y permanecer allí durante dos años, lo que también se aplica para la F3. Esos años me ayudaron mucho a desarrollarme como piloto de carreras y a adquirir experiencias valiosas. Ahora estoy en mi segundo año en la F2 y espero poder seguir mejorando como piloto aquí, en cuanto a análisis de carreras y habilidades al volante a la hora de enfrentar a mis rivales, tener más frialdad. Todos conocimos las cualidades de su padre, Michael, como piloto, pero ¿cuáles son las que usted tiene? Siempre es difícil juzgar las propias cualidades, por lo cual hablar de las mías es algo que otras personas deberían hacer. Yo prefiero concentrarme en el trabajo, y esa es la cualidad que me gustaría valorar. ¿Ser piloto fue un tributo a su padre? Pueda que sí, pero, sobre todo, es la profesión que más amo. No podría imaginarme algo que preferiría hacer que ser piloto de carreras. Obviamente, nuestra familia siempre ha sido una apasionada de las carreras y, a medida que crecía, entendía por qué mi papá y todo el mundo la aman tanto. ¿Qué recuerdos tiene de su padre como piloto y como padre? Creo que mi padre es el mejor piloto de carreras de todos los tiempos. Todavía era un niño pequeño durante sus años en Ferrari cuando no paraba de ganar, pero después de haber visto muchas de sus carreras en video, diría que el control de su auto fue excepcional. Siempre fue rápido y constante, sin importar las condiciones de carrera. Es un modelo por seguir. Eso sí, siempre que estoy en una pista, descubro cosas nuevas, independientemente del automóvil, entonces es importante para mí entender cómo vivía mi padre al volante donde las pruebas no pueden ser muy cerradas. ¿Cree que por ser el hijo de Michael Schumacher ya tiene asegurado su puesto en la Fórmula 1? Nadie llega a la Fórmula 1 porque importe su apellido. Si la gente me compara con mi padre, me enorgullece mucho, porque para mí es el mejor piloto de carreras de todos los tiempos. Aquí, el deporte te elige a ti, en lugar de tú elegir el deporte. Si llega la oportunidad, la aprovecharé. Recientemente, Sebastián Montoya, hijo de Juan Pablo, uno de los rivales de su padre en la F1, se unió al equipo Prema, en el que está usted. ¿Cree que la Fórmula 1 volverá a ver un duelo Schumacher vs. Montoya? No me disgustaría poder enfrentar al hijo de Montoya. Claramente, mi objetivo es convertirme en piloto de Fórmula 1 en algún momento en el futuro. No hay garantía de que yo lo consiga, pero, definitivamente, intentaré todo lo que pueda para lograr este objetivo. Parece una obsesión correr lo más pronto posible en la F1… Estoy preparado. Es mi sueño, es a donde quiero ir y donde quiero pasar toda mi vida, básicamente. Me siento listo.  Cuando se llega a la F2, diría que ya la mayoría están preparados para dar el salto. En F2 se aprende mucho sobre los neumáticos y otras cosas que ayudan para la F1. ¿Qué diferencias encuentra entre el automovilismo actual y el que había cuando su padre competía? Es difícil para mí decirlo. No he corrido en estos días y solo sé un poco sobre los antiguos autos de F1 de mis demostraciones con el Benetton de 1994 y el Ferrari del 2004. Yo diría que la mayor diferencia en términos de especificaciones de automóviles, en comparación con los automóviles modernos de F1, es el motor y la unidad de potencia. Conducir los viejos motores V10 y V8 fue un mero placer. Literalmente se puede sentir cuánta potencia tienen estos autos, y también el sonido es impresionante. ¿Es un objetivo para usted convertirse en el piloto más exitoso en la historia de la F1 como lo fue un icónico Michael Schumacher? Mi objetivo a largo plazo es convertirme en un piloto de F1 exitoso y, con suerte, algún día ser campeón del mundo. Mi padre es siete veces campeón del mundo, que es un número increíblemente alto. Para mí es importante hacerlo paso a paso y mi próximo objetivo es la actual temporada de F2, que esperamos correr este año. Luego veremos qué va pasando. La vida del automovilismo va demasiado rápido, lejos de un automóvil, ¿quién es Mick Schumacher? (Risas) Incluso en los fines de semana que no hay carrera, el automovilismo juega un papel muy importante en mi vida. Si no estoy compitiendo, me preparo para la próxima vez que lo haga. Eso incluye mucho entrenamiento físico, asegurándome de que estoy en buena forma física. En la F2 no hay dirección asistida, lo que hace que la conducción sea realmente exigente, por lo que se debe estar en forma, de lo contrario, no se podrá realizar lo que se quiere en pista. Entonces, incluso en mi tiempo libre, pienso mucho en los deportes de motor. FELIPE VILLAMIZAR M. Redactor de EL TIEMPO En Twitter: @FelipeVilla4 ;deportes
2;Alonso y Toyota conquistan por primera vez las 24 Horas de Le Mans;El español hizo equipo con Sébastian Buemi y el japonés Kazuki Nakajami.;"Fernando Alonso, acompañado por el suizo Sébastian Buemi y el japonés Kazuki Nakajami, brindó este domingo a Toyota su primera victoria en las 24 Horas de Le Mans, en la primera participación del piloto español y en la 20ª del constructor japonés en esta prueba. A primera hora de la mañana, el Toyota número 8 adelantó a su coche hermano, el número 7 del británico Mike Conway, el japonés Kamui Kobayashi y el argentino José María López, para imponerse con dos vueltas de ventaja, a pesar de una penalización de un minuto de ""stop and go"" recibida durante la noche. Alonso conquistó así la segunda punta de la 'Triple Corona' del automovilismo, después de vencer en el Gran Premio de F1 de Mónaco, que ganó en 2006 y 2007, por lo que le resta ganar las 500 Millas de Indianápolis. Nakajima firmó la pole position el jueves por la tarde con un registro de 3 minutos 15 segundos y 377 milésimas y Buemi realizó el mejor parcial en carrera con un tiempo de 3 minutos 17 segundos y 658 milésimas en la quinta vuelta. Toyota se benefició de una serie de circunstancias favorables, al quedarse esta temporada 2018-2019 como el único constructor en LMP1, tras las retiradas de Audi y Porsche en los dos años anteriores. El trabajo efectuado respecto a la fiabilidad durante el invierno dio sus frutos y no sufrió mayor problema - contrariamente a las reiteradas averías desde 2012- que la escasez de combustible que afectó a Kobayashi a falta de una hora y media para el final. El Rebellion número 3 del francés Thomas Laurent, segundo el pasado año al volante de un LMP2, del suizo Mathias Beche y del estadounidense Gustavo Menezes completó el podio a doce vueltas del ganador, por delante de su coche hermano número 1. Los otros seis LMP1 no híbridos inscritos por los equipos privados sufrieron con no menos de cinco abandonos, incluyendo el del SMP Racing número 11 del británico Jenson Button, debutante en esta prueba, y del ruso Vitaly Petrov. En LMP2, el G-Drive Racing número 26 de los franceses Jean-Eric Vergne y Andrea Pizzitola y el ruso Roman Rusinov, 5º a diecinueve vueltas, dominó su categoría de principio a fin. En GTE Pro, donde la lucha entre Porsche y Ford mantuvo despierto al público toda la mañana, el Porsche número 92 ""Cochon rose"" terminó primero. 1. Buemi-Nakajima-Alonso (SUI-JAP-ESP/Toyota TS050 - Hybrid) 388 vueltas 2. Conway-Kobayashi-López (GBR-JAP-ARG/Toyota TS050 - Hybrid) a 2 vueltas 3 . Laurent-Beche-Menezes (FRA-SUI-USA/Rebellion R13 - Gibson) a 12 vueltas 4. Lotterer-Jani-Senna (GER-SUI-BRA/Rebellion R13 - Gibson) a 13 vueltas 5. Vergne-Pizzitola-Rusinov (FRA-FRA-RUS/G-Drive Racing - Oreca 07 - Gibson) AFP ";deportes
3;Batalla abierta por el campeonato de F1: Hamilton ganó en Gran Bretaña;Valtteri Bottas de Mercedes y Kimi Raikonen de Ferrari fueron segundo y tercero respectivamente.;El británico Lewis Hamilton logró este domingo su cuarta victoria consecutiva en el GP de Gran Bretaña de Fórmula Uno, prueba que también ganó en 2008, al finalizar la carrera por delante de los finlandeses Valtteri Bottas, su compañero en Mercedes, y Kimi Raikkonen (Ferrari). Con cinco triunfos en el circuito de Silverstone, el inglés Lewis Hamilton igualó el récord histórico del francés Alain Prost, quien también se impuso en cinco ocasiones sobre este trazado. Ellos dos son, junto al británico Jim Clark, los únicos pentacampeones del GP de Gran Bretaña de Fórmula Uno. La ausencia en el podio del alemán Sebastian Vettel (Ferrari), séptimo tras sufrir un pinchazo en la última vuelta, permitió a Lewis Hamilton recortar diecinueve de los veinte puntos de desventaja que acumulaba antes de la carrera. Vettel sigue líder del campeonato del mundo, con 177 puntos, y Hamilton sigue tras él, pero a solo uno tras esquivar los problemas que sí paralizaron a su compatriota Jolyon Palmer, de la escudería Renault, y a los españoles Carlos Sainz (Toro Rosso) y Fernando Alonso (McLaren Honda). El monoplaza de Jolyon Palmer falló durante la vuelta de formación, por lo que el Gran Premio comenzó con retraso al ser abortada la primera salida. La primera vuelta también fue agitada, ya el ruso Daniil Kvyat chocó contra su compañero Carlos Sainz. Esa acción, que costó al piloto de Ufá, de 23 años, un 'drive-through' (paso por la vía de garajes, a una velocidad ralentizada), precipitó el abandono del madrileño y la salida del coche de seguridad. fortuna también le fue esquiva a Fernando Alonso, quien había arrancado desde el último lugar de la parrilla al arrastrar una sanción de 30 posiciones por la sustitución de múltiples componentes del motor suministrado por Honda. La pérdida de potencia de su monoplaza fue esta vez la causante de su abandono cuando trataba de completar la vuelta número 35 de 52. La gran remontada que deseaba protagonizar Alonso sí la consiguió el australiano Daniel Ricciardo. El piloto de Red Bull progresó desde la decimonovena hasta la quinta posición. No pudo alcanzar a Max Verstappen, con quien comparte garaje. El holandés fue cuarto. El alemán Nico Hulkenberg (Renault) fue sexto, con Vettel en la séptima plaza tras un aciago pinchazo poco después de que el mismo incidente sorprendiera a Raikkonen. Completaron el top-10 el francés Estaban Ocon (Force India), el mexicano Sergio Pérez (Force India) y el brasileño Felipe Massa (Williams). Resultado del GP de Gran Bretaña: 1. Lewis Hamilton (GBR/Mercedes) los 300,307 km en 1h21:27.430 2. Valtteri Bottas (FIN/Mercedes) 3. Kimi Rõikkönen (FIN/Ferrari) 4. Max Verstappen (NED/Red Bull-TAG Heuer) 5. Daniel Ricciardo (AUS/Red Bull-TAG Heuer) 6. Nico Hülkenberg (GER/Renault) 7. Sebastian Vettel (GER/Ferrari) 8. Esteban Ocon (FRA/Force India-Mercedes) 9. Sergio Pérez (MEX/Force India-Mercedes) 10. Felipe Massa (BRA/Williams-Mercedes) 11. Stoffel Vandoorne (BEL/McLaren-Honda) 12. Kevin Magnussen (DEN/Haas-Ferrari) 13. Romain Grosjean (FRA/Haas-Ferrari) 14. Marcus Ericsson (SWE/Sauber-Ferrari) 15. Daniil Kvyat (RUS/Toro Rosso-Renault) 16. Lance Stroll (CAN/Williams-Mercedes) 17. Pascal Wehrlein (GER/Sauber-Ferrari) Mundial de Fórmula 1 : 1. Sebastian Vettel (GER) 177 puntos 2. Lewis Hamilton (GBR) 176 3. Valtteri Bottas (FIN) 154 4. Daniel Ricciardo (AUS) 117 5. Kimi Rõikkönen (FIN) 98 6. Max Verstappen (NED) 57 7. Sergio Pérez (MEX) 52 8. Esteban Ocon (FRA) 43 9. Carlos Sainz Jr (ESP) 29 10. Nico Hülkenberg (GER) 26 11. Felipe Massa (BRA) 23 12. Lance Stroll (CAN) 18 13. Romain Grosjean (FRA) 18 14. Kevin Magnussen (DEN) 11 15. Pascal Wehrlein (GER) 5 16. Daniil Kvyat (RUS) 4 17. Fernando Alonso (ESP) Constructores: 1. Mercedes-AMG 330 puntos 2. Ferrari 275 3. Red Bull 174 4. Force India 95 5. Williams 41 6. Toro Rosso 33 7. Haas 29 8. Renault 26 9. Sauber 5 10. McLaren-Honda 2 EFE y AFP ;deportes
4;¡Qué innovadores! La atractiva propuesta para los pilotos de la F1;En medio de las suspensiones de las carreras por el coronavirus, pensaron en una gran idea.;"La Fórmula 1 realizará una competición virtual utilizando del videojuego oficial de la competición, que tendrá lugar en los días en los que estaban previstos los Grandes Premios que han suspendido por la pandemia del coronavirus. El campeonato, denominado 'F1 Esports Virtual Grand Prix series', comenzará este domingo 22 con la disputa a través del videojuego del Gran Premio de Baréin, previsto para este fin de semana hasta que la expansión del Covid-19 obligó a su aplazamiento. (Le puede interesar: Lionel Messi se unió a un reto viral por la cuarentena ) Según la organización del Mundial de Fórmula 1, la competición durará hasta el mes de mayo, cuando está previsto que se reanuden las carreras, y en ella participarán pilotos actuales de la competición y ""estrellas que serán anunciadas próximamente"". Todos ellos competirán desde sus domicilios. La retransmisión se podrá seguir en los canales oficiales de la Fórmula 1 en las plataformas Youtube, Twitch y Facebook, con una duración de una hora y media, en la que se incluirá una fase de clasificación y la carrera. Esta competición se organiza ""estrictamente por motivos de entretenimiento"" por lo que ""no dará puntos oficiales del Campeonato"" a los pilotos, aclaró la organización del campeonato de monoplazas. Aunque aún no se han conocido los pilotos que participarán, no sería extraño que lo hiciera el neerlandés Max Verstappen (Red Bull) o el inglés Lando Norris (McLaren), reconocidos aficionados a las carreras virtuales, o el español Carlos Sainz (McLaren), que ya ha anunciado su participación en un campeonato virtual este viernes, organizado por el diario deportivo español 'Marca'. (Lea también: Durísimo golpe recibiría Cristiano Ronaldo: la propuesta de la Serie A ) La crisis por la pandemia del coronavirus ha provocado la suspensión del Gran Premio de Australia, el primero de la temporada que se tenía que disputar la semana pasada y la cancelación del de Mónaco, mientras que los de Baréin, Vietnam, China, Holanda y España han sido aplazados. Los cambios reglamentarios para el Mundial, previstos para 2021, también han sido retrasados un año, a 2022. EFE ";deportes
5;El mensaje de esperanza de Juan Pablo Montoya a Colombia por la crisis;El piloto colombiano quiso compartir las maneras en que se debe luchar contra el coronavirus.;Uno de los máximos referentes en la historia del deporte colombiano es Juan Pablo Montoya. Fueron muchas las alegrías que generó a la población con sus triunfos en la Fórmula 1, en la IndyCar y en todas las categorías en las que compitió. Por estos días está tomando todas las prevenciones para poner su grano de arena y evitar la propagación del coronavirus. En charla con EL TIEMPO le envió un mensaje a toda Colombia de esperanza y cuidado para afrontar este difícil momento y salir adelante como país. ¿Cómo han vivido como familia esta crisis por el coronavirus? Es un tema muy delicado y es necesario tener todas las precauciones. Lo hemos pasado muy bien, porque creo que nunca hemos pasado tanto tiempo juntos en familia. ¿Cuál es el ambiente que se vive en Estados Unidos? Creo que en Colombia lo están haciendo muy bien. Yo entiendo que existe mucha gente que vive de su trabajo diario y no tiene la posibilidad de dejar su trabajo y quedarse en su casa así no más, pero es ahí donde el Gobierno debe entrar a ayudarlos y apoyarlos. Infortunadamente la única solución es evitar el contacto humano y quedarse en la casa en cuarentena. Eso es lo único eficaz. Acá en Miami ha sido complicado, porque yo llevo una semana con mi familia sin salir, pero hay mucha muchísima gente que no entiende la gravedad de lo que está pasando, sobre todo los jóvenes. ¿Cómo ha sido ese trabajo de la sociedad para evitar la propagación? Hemos encontrado unos muy conscientes, otros muy egoístas que como son jóvenes creen que no les pasa nada. Nosotros por las carreras de Sebastián hemos vivido muy de cerca lo de Italia. El día que Italia se fue oficialmente a lock down (bloqueó) Connie y Sebastián se iba para Alemania a un test de la Fórmula 4. La única razón por la que se canceló el test fue porque no dejaron salir los camiones de Italia. Obviamente ellos necesitan el trabajo pero necesitamos entender la magnitud de esta epidemia. ¿El miedo a contraer este virus puede generar algún tipo de predisposición psicológica? Obviamente estamos tomando todas las medidas necesarias para evitarlo y no estamos en los casos de alto riesgo. Pero uno nunca sabe qué complicaciones puede haber y no tomar las precauciones necesarias y enfermarse. Soldado avisado no muere en guerra. Y además no solo se trata de mí o de mi familia sino de ayudar a bajarle el porcentaje de probabilidad de infección a esos que son de alto riesgo. ¿Cuál es el mensaje de esperanza que le da a Colombia? Estamos en momentos muy difíciles y, aunque quedarse en casa y no trabajar pareciera que no es opción, pues entre más rápido paramos la propagación de este virus, más rápido salimos de esto. Entonces, la única opción es quedarse en casa. Ojalá la gente entienda la gravedad de la situación. FELIPE VILLAMIZAR M. Redactor de EL TIEMPO En Twitter: @FelipeVilla4 ;deportes
6;El Dakar, un trazado de sufrimiento para festejar sus 40 años;El rally se disputará entre el 6 y el 20 de enero de 2018;"Un recorrido ""para soñar y para sufrir"" será el que los pilotos tendrán que enfrentar en la edición 40 del Rally Dakar, presentada este miércoles en París con un trazado que incluirá Perú, Bolivia y Argentina y se disputará entre el 6 y el 20 de enero de 2018. Esta 40 edición, la décima que se lleva a cabo en Suramérica después de que problemas de seguridad obligasen a trasladar la prueba del norte de África, será más densa, más larga de lo habitual, con salida en Lima, descanso en La Paz y llegada en la localidad argentina de Córdoba, considerada la capital del motor de la región. ""Mucha arena, mucha altura y mucho calor"", resumió el director deportivo de la prueba, el español Marc Coma, quien presentó la competencia en un acto en París junto a Etienne Lavigne, responsable del Dakar. Lavigne destacó la relación ""especial"" que ha entablado la prueba con los aficionados sudamericanos y constató que ""el entusiasmo"" por esta competencia, presentada hoy en París, sigue ""intacto"". ""El entusiasmo está intacto y el éxito popular está asegurado"" , dijo Lavigne, quien realzó el estreno en la competición del piloto de motos español Jonathan Barragán. Se trata de la tercera vez que viaja a Perú -la primera en cinco años-, y repetirá con Bolivia, que albergará la prueba por quinta vez, y Argentina, la parada imprescindible en todas las ediciones suramericanas. De entre las 14 etapas, destaca la dureza de la quinta, entre San Juan de Marcona y Arequipa, en las que los pilotos se enfrentarán a montañas de dunas durante 30 kilómetros. En la segunda semana, serán claves la octava etapa, entre Uyuni y Tuzipa, ya en territorio boliviano, y en Argentina la duodécima, en las dunas de Fiambalá y la decimotercera, entre San Juan y Córdoba, donde finaliza el día 20. En esta edición, como en la anterior, las modificaciones en el reglamento que favorecen la navegación y refuerzan la necesidad de orientarse siguen en pie. Una apuesta valorada por el piloto español Joan ""Nani"" Roma (Mini), ganador del Dakar en 2004 en motos y en 2014 en coches y presente hoy en París. ""Es una exhibición del país a nivel mundial, con 190 millones de espectadores. La imagen es fundamental, el movimiento económico es importante"", aseveró el ministro de Comercio Exterior y Turismo de Perú, Eduardo Ferreyros, quien calculó el impacto en el país en 350 millones de dólares. Por su lado, la ministra de Culturas y Turismo de Bolivia, Wilma Alanoca Mamani, estimó que los cuatro días en los que la carrera del Rally Dakar pasará por el país andino tendrán un impacto económico de unos 140 millones de dólares. ""El Dakar tiene una carga de revolución del turismo, que es lo que nos interesa impulsar"", expuso la ministra. Por Argentina, asistió el subsecretario de Estado de Turismo, Fernando García Soria, quien destacó ""el enorme dispositivo de seguridad"" alrededor de toda la prueba, estimado en unos 20.000 efectivos entre policías y militares. EFE ";deportes
7;Conozca el recorrido del Rally Dakar 2019;;;deportes
8;Tatiana Calderón consiguió el segundo mejor tiempo en Marruecos;Completó 41 vueltas y en la 38 marcó un tiempo de 1m 17s 674, en los test de la Fórmula E.;Tatiana Calderón, piloto de pruebas de Alfa Romeo Sauber y quien pertenece a la Escudería Telmex Claro, inició su temporada 2019 este domingo en Marrakech, Marruecos. Allí, la bogotana logró la segunda posición en los test de rookies de la Fórmula E a bordo del DS E-TENSE FE19, del actual equipo campeón de la categoría eléctrica, el DS Techeetach. En la jornada de la mañana, Calderón completó un total de 41 vueltas y en la 38 marcó un tiempo de 1m17s674, a solamente a 0s142 del mejor registro, obtenido por Nico Muller, con el equipo Audi. A propósito, Calderón indicó que “tuvimos una muy buena mañana, terminé segunda, aprendiendo mucho y ayudando al equipo para preparación de las próximas carreras en Santiago de Chile y México. Estoy muy contenta y ojalá pueda tener otra oportunidad de seguir probando con esta gran escudería”. Es la segunda vez que la colombiana se sube a un monoplaza de la Fórmula E. Ya lo había hecho con el mismo equipo en diciembre del 2018, en Arabia Saudita. Con información de oficina de prensa* ;deportes
9;Debut de Tatiana Calderón en la Fórmula 2 en Bahrein;La piloto colombiana correrá en Sakhir con el equipo británico Arden Motorsport.;Tatiana Calderón está a un paso de la Fórmula 1, este fin de semana la colombiana debutará en el campeonato FIA de Fórmula 2 en el Circuito Internacional de Bahréin, correrá en el circuito de Sakhir con el equipo británico Arden Motorsport. Junto a su reciente renovación como piloto de pruebas del equipo Alfa Romeo Racing de Fórmula 1, y perteneciente a la Escudería Telmex-Claro, Tatiana firmó a principios de 2019 su participación en la Fórmula 2 con el equipo BWT Arden, organización con la que ya había competido en la Gp3 Series en 2016. La serie inicia su tercera temporada con esta denominación, después de conocerse como la Gp2 desde sus inicios en 2005, siguiendo una base técnica similar que la ha afianzado como la antesala de la Fórmula 1. Previo a su debut en Bahrein, la colombiana ha completado en España los seis días de pruebas de pretemporada oficiales junto al resto de pilotos y equipos en los circuitos de Jerez y Barcelona, permitiéndole familiarizarse con el equipo, el auto y los más de 600 caballos de potencia del motor turbo del F2, cerca de una tercera parte más de los que impulsaban su monoplaza de la Gp3 que pilotaba en los años anteriores. Las condiciones para esta fecha de apertura serán muy diferentes a las de dichas pruebas, pues habrá mayores temperaturas en pista y entrarán en juego factores nuevos para Tatiana, entre ellos, el uso de dos compuestos de neumáticos diferentes durante la carrera, como en la Fórmula 1, y la consecuente parada en boxes, que brevemente experimentó en este mismo escenario en 2017, cuando en su única participación en la Formula V8 3.5, se convirtió en la primera mujer en conseguir un podio en la historia de la categoría. El formato del fin de semana en la Fórmula 2 sigue una programación similar a la Gp3, con una práctica libre, una sesión de clasificación para determinar la parrilla de la primera carrera larga a 32 vueltas o una hora y con parada en boxes, que se corre el sábado. El resultado de esta última, invirtiendo el orden para los ocho primeros, determinan el orden de salida de la carrera sprint a 25 vueltas o 45 minutos que se corre el domingo, sin paradas obligatorias en boxes para cambio de neumáticos. Entre los nombres que atraerán la atención de la categoría este año y con quienes rivalizará Tatiana se encuentran Mick Schumacher, hijo del siete veces campeón del mundo de F1 Michael Schumacher y actual campeón Europeo FIA de Fórmula 3, además de Giuliano Alesi, hijo del ex-piloto francés y ganador con Ferrari en la F1, Jean Alesi. Además de ellos están los favoritos Nick de Vries, vinculado con McLaren en el pasado, así como el brasileño Sergio Sette Camara, piloto de pruebas y desarrollo de McLaren y Nicholas Latifi, piloto de pruebas de Williams. Al menos 12 de los 19 rivales de Tatiana, de 13 nacionalidades distintas, cuentan con vínculos y roles con equipos de la máxima categoría en la actualidad. El desafío que la colombiana enfrenta a partir de este fin de semana será el mayor de su carrera deportiva. Como ella, todos aspiran a poder dar el salto a la Fórmula 1. Tatiana Calderón: “Finalmente ha llegado el inicio de la temporada y será en un circuito que me gusta y que me trae buenos recuerdos, con los podios que he conseguido en otras categorías en el pasado. Después de las pruebas en Barcelona hemos buscado respuestas a los problemas que enfrentamos durante la pretemporada, pero aquí las condiciones serán muy diferentes y al final las pruebas son solo eso, ensayos que te dan un punto de partida sobre el cual esperamos progresar desde este fin de semana. Sin duda será muy especial hacer mi debut en la Fórmula 2, ponernos un paso más cerca de la Fórmula Uno en una categoría en la que todos aspiramos a poder dar el salto en el futuro”. Viernes 29 de Marzo Práctica libre – 11:30 Clasificación – 16:50 Sábado 30 de Marzo Carrera 1 – 13:10 Domingo 31 de Marzo Carrera 2 – 14:15 Con información de oficina de prensa. ;deportes
